timestamp,seconds,nanoseconds,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1732399013987160989,1732399013,987160989,-3.7496697862869803,13.602075218599323,0.29534518236997004,0.0011440012603998184,0.00038010053685866296,0.9325316548347473,-0.02636176347732544,0.013357207179069519,-0.033354274928569794,-0.021239742636680603,0.03271232172846794,-0.2984640598297119
173239901441860481,1732399014,41860481,-3.7479772463774728,13.602644171353267,0.2940715893371174,0.0008872011676430702,0.00038794262218289077,0.9292105436325073,0.0033863615244627,0.024318892508745193,-0.012331738136708736,0.010220371186733246,0.04762373864650726,-0.21958425641059875
1732399014124604561,1732399014,124604561,-3.74566121909882,13.600757777721658,0.29217216261235385,0.0005058918031863868,-3.80340643459931e-05,0.9268680214881897,0.034032419323921204,0.01776188425719738,-0.006819221656769514,0.008120352402329445,-0.05244385078549385,-0.1820579171180725
1732399014177480277,1732399014,177480277,-3.7428635813044764,13.597994571880552,0.2891207595884307,0.0018114163540303707,-0.0003074962878599763,0.9234394431114197,0.05152786523103714,0.024978237226605415,-0.03607787936925888,0.2994686961174011,0.10754434764385223,-0.4496361017227173
1732399014245165981,1732399014,245165981,-3.7410379951302692,13.591616884135448,0.2901280475626554,0.0002891977783292532,0.004464501049369574,0.9180918335914612,0.11521384119987488,-0.00859670341014862,0.05943603441119194,-0.10644461214542389,-0.08982254564762115,-0.3812103569507599
1732399014312143349,1732399014,312143349,-3.737991245043987,13.585997432911162,0.2913390472904157,-0.0014725910732522607,0.0025290241464972496,0.9112194180488586,0.06976887583732605,0.007012599613517523,-0.009130998514592648,0.019290078431367874,0.06128891184926033,-0.5107138156890869
1732399014374080639,1732399014,374080639,-3.7337236541721506,13.581863049008083,0.2897744916873213,-0.0007958762580528855,0.001880050403997302,0.9026795029640198,0.05391182005405426,0.01398693397641182,-0.00305433152243495,0.07373903691768646,0.05512220412492752,-0.6757622957229614
1732399014437975124,1732399014,437975124,-3.7311793663248336,13.58017999399579,0.2892555078192272,0.00013773766113445163,0.0017691984539851546,0.8920790553092957,0.025787651538848877,0.021659985184669495,-0.00034891621908172965,0.04724936559796333,-0.03183261305093765,-0.7818320989608765
1732399014500175780,1732399014,500175780,-3.7280025369550396,13.579278592422282,0.2886732922882269,-2.964932718896307e-05,0.0016426220536231995,0.8811386823654175,-0.009266641922295094,0.024843886494636536,0.015149478800594807,-0.01911749131977558,0.01266738772392273,-0.7854853272438049
1732399014578035562,1732399014,578035562,-3.725496387050998,13.582453862881259,0.28932319526382794,-0.0004426503728609532,0.0016552176093682647,0.8692473769187927,-0.05082122981548309,0.05436336249113083,0.03021363914012909,0.1176290214061737,-0.08994314819574356,-0.7823513746261597
1732399014632446096,1732399014,632446096,-3.722973436572957,13.58672494077752,0.29175229188176827,-0.0005863116821274161,0.0020110185723751783,0.8569406270980835,-0.03026040643453598,0.04892072081565857,0.007037431932985783,0.07356451451778412,-0.037716783583164215,-0.7269880175590515
1732399014703098168,1732399014,703098168,-3.720726941370364,13.589299821219793,0.2893439711445887,-0.0005813834723085165,0.001393657410517335,0.8434101939201355,-0.004183735698461533,0.04362527281045914,-0.020822077989578247,0.027530310675501823,-0.05085796117782593,-0.7524263858795166
1732399014768944152,1732399014,768944152,-3.715928893695506,13.589556758040501,0.28721763469186473,-4.882307621301152e-05,0.0005818915669806302,0.8285138010978699,0.015024473890662193,0.0376015231013298,-0.029981324449181557,0.0077864425256848335,0.017579974606633186,-0.7527456879615784
1732399014817080020,1732399014,817080020,-3.7127555497806863,13.58795697839389,0.28579777416475505,-0.0011034870985895395,0.000999005394987762,0.8160006999969482,0.044233329594135284,0.02994835376739502,-0.02612495794892311,-0.05366520956158638,0.008506696671247482,-0.7175791263580322
1732399014883515713,1732399014,883515713,-3.7103001592194795,13.58625412331352,0.28338540036427995,-0.00029625356546603143,0.0013725976459681988,0.8051807284355164,0.055206507444381714,0.029578663408756256,-0.03305274620652199,0.02220464125275612,-0.02426638826727867,-0.733162522315979
1732399014947826303,1732399014,947826303,-3.7069732674189746,13.582890175762243,0.28482751838794207,-0.0007764208712615073,0.0027274717576801777,0.7916960120201111,0.052686311304569244,0.023672550916671753,0.037208668887615204,0.038466885685920715,-0.0734666958451271,-0.6669204235076904
17323990158569320,1732399015,8569320,-3.704551851889539,13.58003071907427,0.28718180881324146,-0.0018392285564914346,0.0023084068670868874,0.7757506966590881,0.028832148760557175,0.013730954378843307,0.022191304713487625,0.00917959213256836,0.03515775129199028,-0.7843712568283081
173239901583929584,1732399015,83929584,-3.702271940923101,13.578050291634344,0.2891185421374564,-0.0012423885054886341,0.0032625426538288593,0.7605029940605164,0.028604023158550262,0.012476563453674316,0.03629935532808304,0.007916606962680817,0.017842113971710205,-0.7943668961524963
1732399015135515154,1732399015,135515154,-3.699963150125132,13.577311422116466,0.29052742136282017,-0.0008916986407712102,0.002682743826881051,0.7450923919677734,0.014854775741696358,0.021577533334493637,0.03173041343688965,-0.01751730591058731,-0.03149797394871712,-0.7658155560493469
1732399015224033832,1732399015,224033832,-3.6980081836715293,13.577957229286529,0.2914373170633617,-0.001469682320021093,0.002041903557255864,0.7283691167831421,-0.016845621168613434,0.039069175720214844,0.01847122237086296,0.0014225533232092857,0.023829221725463867,-0.7409209609031677
